market_name,market_id,market_address,is_shutdown,deployment_deprecated,deployment_disabled,currency,window_start_inclusive_utc,window_end_inclusive_utc,first_volume_hour_utc,last_volume_hour_utc,volume_30d_ovl,avg_24h_bucket_volume_ovl,median_24h_bucket_volume_ovl,max_24h_bucket_volume_ovl,max_24h_bucket_start_utc,max_24h_bucket_end_utc,active_24h_buckets,active_hours,hour_rows,share_30d_volume_pct,current_total_volume_ovl,number_of_builds_lifetime,number_of_unwinds_lifetime,number_of_liquidates_lifetime,explorer_url
SILVER / USD,SILVER%20%2F%20USD,0xabc48a8945146ead99da41a45d824736c20ada9e,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-05T14:00:00Z,2026-06-03T10:00:00Z,116398391.067650,3879946.368921,1996154.793014,14523989.183255,2026-05-27T13:00:00Z,2026-05-28T12:00:00Z,26,217,217,18.1332,139778280.053699,362,253,101,https://bscscan.com/address/0xabc48a8945146ead99da41a45d824736c20ada9e
OIL / USD,OIL%20%2F%20USD,0x3914ec7f837fc44f09c8f4520ab3afcded24857f,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-04T15:00:00Z,2026-06-03T09:00:00Z,71827387.318223,2394246.243940,1156353.818171,9587065.820269,2026-05-13T13:00:00Z,2026-05-14T12:00:00Z,30,209,209,11.1897,83658143.370832,263,166,94,https://bscscan.com/address/0x3914ec7f837fc44f09c8f4520ab3afcded24857f
PLUME / USD,PLUME%20%2F%20USD,0x9e25fbfa246a7adf36805700cc12b93e9310be2e,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-04T16:00:00Z,2026-06-03T11:00:00Z,70099249.899270,2336641.663309,1665486.241690,8307198.223390,2026-06-02T13:00:00Z,2026-06-03T12:00:00Z,29,271,271,10.9205,78404752.693736,359,245,110,https://bscscan.com/address/0x9e25fbfa246a7adf36805700cc12b93e9310be2e
CHZ / USD,CHZ%20%2F%20USD,0x0f0e82b2987de7cd6bd17db0c279e7596fce72d8,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-04T16:00:00Z,2026-06-03T11:00:00Z,69397001.249721,2313233.374990,1669130.447723,8374381.580771,2026-05-22T13:00:00Z,2026-05-23T12:00:00Z,28,271,271,10.8111,71541814.605780,312,243,60,https://bscscan.com/address/0x0f0e82b2987de7cd6bd17db0c279e7596fce72d8
DASH / USD,DASH%20%2F%20USD,0x2596d270c74c56a6ec5d56c944bdd5f647093ae1,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-04T22:00:00Z,2026-06-03T11:00:00Z,61611504.208336,2053716.806944,1429398.982901,6867995.756075,2026-05-22T13:00:00Z,2026-05-23T12:00:00Z,29,270,270,9.5982,71572420.851008,366,274,84,https://bscscan.com/address/0x2596d270c74c56a6ec5d56c944bdd5f647093ae1
MOCA / USD,MOCA%20%2F%20USD,0xb7684a79951ab4f9c4aa7d620cb9fbead71f5ce8,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-05T16:00:00Z,2026-06-03T09:00:00Z,58808103.698544,1960270.123284,1191319.263323,7443948.465750,2026-05-22T13:00:00Z,2026-05-23T12:00:00Z,25,226,226,9.1615,67014374.604554,323,264,55,https://bscscan.com/address/0xb7684a79951ab4f9c4aa7d620cb9fbead71f5ce8
BAND / USD,BAND%20%2F%20USD,0x83a2cae9c20c82ffd47a7dab42b39d97dea2213f,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-04T16:00:00Z,2026-06-03T10:00:00Z,58559684.299127,1951989.476637,1636083.898968,6474636.334751,2026-05-27T13:00:00Z,2026-05-28T12:00:00Z,28,273,273,9.1228,67803202.330145,349,301,43,https://bscscan.com/address/0x83a2cae9c20c82ffd47a7dab42b39d97dea2213f
AERO / USD,AERO%20%2F%20USD,0x5465671ff8a4e1260c36b9390b308733becd11ce,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-05T14:00:00Z,2026-06-03T12:00:00Z,58024226.116075,1934140.870535,1115260.414003,7378972.973802,2026-05-22T13:00:00Z,2026-05-23T12:00:00Z,27,279,279,9.0394,67149468.378781,370,283,77,https://bscscan.com/address/0x5465671ff8a4e1260c36b9390b308733becd11ce
VVV / USD,VVV%20%2F%20USD,0xf41316eb0c76ae742e58fd09d226419ade1a76b3,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-05T13:00:00Z,2026-06-03T11:00:00Z,42392986.485469,1413099.549515,705726.818320,7619724.471880,2026-05-27T13:00:00Z,2026-05-28T12:00:00Z,20,216,216,6.6042,56524661.889900,359,248,97,https://bscscan.com/address/0xf41316eb0c76ae742e58fd09d226419ade1a76b3
ETH Dominance,ETH%20Dominance,0xf6914fd389300ba0f6e1f858bb1fb53794e18476,false,false,false,PERCENTAGE,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-05T15:00:00Z,2026-06-03T07:00:00Z,10651223.467586,355040.782252,192818.307969,1375265.807275,2026-05-13T13:00:00Z,2026-05-14T12:00:00Z,25,130,130,1.6593,12575173.872807,131,122,5,https://bscscan.com/address/0xf6914fd389300ba0f6e1f858bb1fb53794e18476
BTC / USD,BTC%20%2F%20USD,0x3d9701e8fe563d82c3787b3a783d8a218591e4a3,false,true,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-04T17:00:00Z,2026-06-03T03:00:00Z,5850572.740565,195019.091352,177886.825669,632713.525754,2026-05-31T13:00:00Z,2026-06-01T12:00:00Z,26,150,150,0.9114,6956898.022715,325,319,20,https://bscscan.com/address/0x3d9701e8fe563d82c3787b3a783d8a218591e4a3
